Nama SPBU,Latitude,Longitude,Alamat (estimasi)
SPBU Pertamina BKR 34.40206,-6.9382463,107.6167918,"Bandung, Jawa Barat"
Pertamina Gas Station 34-40127,-6.9198741,107.6120272,"Bandung, Jawa Barat"
SPBU Pertamina 34.40254 Moch. Ramdan,-6.9365045,107.6104607,"Bandung, Jawa Barat"
"SPBU Pertamina 34.402.17, Jl BKR - Ancol",-6.9379552,107.6177939,"Bandung, Jawa Barat"
SPBU Pertamina 34-40110,-6.91344,107.6338672,"Bandung, Jawa Barat"
SPBU Pertamina 34-40133,-6.9058036,107.6186009,"Bandung, Jawa Barat"
SPBU Pertamina Otista,-6.2311746,106.8676799,"Bandung, Jawa Barat"
34.40202 Pertamina Gas Station,-6.9479184,107.6353226,"Bandung, Jawa Barat"
Shell SPBU Pelajar Pejuang,-6.9363028,107.6237963,"Bandung, Jawa Barat"
SPBU Pertamina 34.402.18 Martanegara Asri,-6.9330281,107.6280044,"Bandung, Jawa Barat"
SPBU Pertamina 34-40253,-6.9492172,107.6258246,"Bandung, Jawa Barat"
SPBU Pertamina 34.40207 Karasak-Soetta,-6.947975,107.6076216,"Bandung, Jawa Barat"
SPBU-BANDUNG LASWI,-6.922392,107.6306345,"Bandung, Jawa Barat"
SPBU 34.40130,-6.9165425,107.6183802,"Bandung, Jawa Barat"
SPBU Pertamina 34.40239 Ciseureuh - Moch.Toha,-6.954808,107.6117736,"Bandung, Jawa Barat"
Pertamina Gas Station 34-40249,-6.9123146,107.6370162,"Bandung, Jawa Barat"
SPBU Pertamina 34-40256,-6.9351212,107.5925836,"Bandung, Jawa Barat"
SPBU / POM Bensin Pertamina laswi samoja,-6.9233794,107.6279221,"Bandung, Jawa Barat"
Pertamina 34-40257 Gas Sation,-6.9429618,107.6423049,"Bandung, Jawa Barat"
SPBU Pertamina Buah Batu,-6.9605486,107.6386989,"Bandung, Jawa Barat"
SPBU Mini Sukamulya,-6.8909855,107.5883315,"Bandung, Jawa Barat"
Kertosono m,-6.9326938,107.627451,"Bandung, Jawa Barat"
Halte Angkutan Martanegara,-6.9331044,107.6277928,"Bandung, Jawa Barat"
Pom Bensin Mini PERTALITE Babang,-6.927559,107.644908,"Bandung, Jawa Barat"
NITROGEN Mustika,-6.9223666,107.6442073,"Bandung, Jawa Barat"
RDpertamini,-6.8831454,107.5775367,"Bandung, Jawa Barat"
POM MINI PAK ATO,-6.9331586,107.5976739,"Bandung, Jawa Barat"
Jati Mulya Samsat,-6.9403768,107.6382162,"Bandung, Jawa Barat"
Cibatu,-7.1036087,107.9876662,"Bandung, Jawa Barat"
Bandros Station,-6.901261,107.6212415,"Bandung, Jawa Barat"
BBG,40.6685798,-73.9644696,"Bandung, Jawa Barat"
Shell SPBU Cihampelas,-6.8988169,107.604241,"Bandung, Jawa Barat"
Pertamina Gas Stations 34.40135,-6.8890791,107.5816182,"Bandung, Jawa Barat"
Pertamina Gas Station 34-40125,-6.8907545,107.6166253,"Bandung, Jawa Barat"
Pertamina Gas Station 34-40124,-6.88058,107.5988074,"Bandung, Jawa Barat"
Pertamina gas station 34-40240 Mengger,-6.9637056,107.6143687,"Bandung, Jawa Barat"
SPBU Pertamina Cibaduyut 34.402.21,-6.9595415,107.5933838,"Bandung, Jawa Barat"
Pertamina gas station 34-40203,-6.929422,107.5776442,"Bandung, Jawa Barat"
Pertamina 34.402.47 Gas Station,-6.9177808,107.6446343,"Bandung, Jawa Barat"
SPBU Pertamina 34-40204,-6.9348716,107.5915032,"Bandung, Jawa Barat"
Shell SPBU Pasteur,-6.8946166,107.5871247,"Bandung, Jawa Barat"
SPBU Pertamina Setiabudi,-6.88058,107.5988074,"Bandung, Jawa Barat"
Pertamina Gas Station 34-40259,-6.9140338,107.5708827,"Bandung, Jawa Barat"
Pertamina gas station 34-40201,-6.9396231,107.6625278,"Bandung, Jawa Barat"
SPBU Pertamina 34.40227 Trsn. Pasir Koja,-6.9293917,107.5795449,"Bandung, Jawa Barat"
Ciwastra Pertamina Gas Station,-6.9601625,107.6632352,"Bandung, Jawa Barat"
34.40131 Pertamina Gas Station,-6.9097271,107.578217,"Bandung, Jawa Barat"
SPBU Pertamina 34-40121 Cihampelas,-6.8886453,107.6038247,"Bandung, Jawa Barat"
SPBU Pertamina 34-40117,-6.9058436,107.6185405,"Bandung, Jawa Barat"
SPBU Pertamina Pasar Suci,-6.8993708,107.6271407,"Bandung, Jawa Barat"
Spbu 34-40103,-6.8993584,107.6419096,"Bandung, Jawa Barat"
Green Nitrogen Sunda Bandung SPBU 3440130,-6.9167652,107.6184815,"Bandung, Jawa Barat"
SPBU VIVO Pasteur,-6.8964848,107.591107,"Bandung, Jawa Barat"
SPBU Pertamina 33.40101,-6.9045049,107.6734802,"Bandung, Jawa Barat"
SPBU Pertamina 34-40115 Abd. Rahman Saleh,-6.9070478,107.5859517,"Bandung, Jawa Barat"
Gas Station - Antapani Lama,-6.9136387,107.6588457,"Bandung, Jawa Barat"
SPBU Pertamina 34-40248 Holis,-6.9266476,107.5747503,"Bandung, Jawa Barat"
SPBU Pertamina 34.40118 Gunung Batu,-6.8915863,107.5630084,"Bandung, Jawa Barat"
SPBU Pertamina Cikadut Baru,-6.9041171,107.6651033,"Bandung, Jawa Barat"
Sadang Serang Gas Station,-6.891132,107.6256435,"Bandung, Jawa Barat"
Pertamina gas station 34-40120,-6.8827884,107.5812711,"Bandung, Jawa Barat"
Gas Station Cibiru,-6.9358422,107.7138008,"Bandung, Jawa Barat"
SPBU Pertamina 34.40226 Cipamokolan,-6.9403229,107.6774392,"Bandung, Jawa Barat"
SPBU Pertamina 34.40237 Cibuntu - Soetta,-6.9195249,107.5745943,"Bandung, Jawa Barat"
Spbu 34.402.30,-6.9224127,107.6307111,"Bandung, Jawa Barat"
SPBU Pertamina 34.402.58 Cibolerang,-6.9490359,107.5667433,"Bandung, Jawa Barat"
SPBU Pertamina 3440250,-6.9450195,107.6886589,"Bandung, Jawa Barat"
SPBU PERTAMINA Derwati 34.40241,-6.9640493,107.6772822,"Bandung, Jawa Barat"
SPBU Pertamina 34-40126 Rajawali,-6.9129158,107.5746204,"Bandung, Jawa Barat"
SPBU Pertamina 34.40106 Cibeureum,-6.9027285,107.5646985,"Bandung, Jawa Barat"
Pertamina gas station 34-40222,-6.9830555,107.6209031,"Bandung, Jawa Barat"
SPBU Kopo Bihbul,-6.9659145,107.5756826,"Bandung, Jawa Barat"
Shell Select Soekarno Hatta,-6.9471506,107.5991037,"Bandung, Jawa Barat"
Spbu3440260,-6.9304834,107.6035292,"Bandung, Jawa Barat"
Spbu bandung,-6.9174639,107.6191228,"Bandung, Jawa Barat"
SPBU bp Dago,-6.883597,107.6136876,"Bandung, Jawa Barat"
Kimes bkr,-6.9382133,107.6174748,"Bandung, Jawa Barat"
SPBU Bojong 34.402.33,-6.9274669,107.5673724,"Bandung, Jawa Barat"
SPBU Cihaurgeulis,-6.899215,107.627121,"Bandung, Jawa Barat"
SHELL PHH MUSTOFA,-6.9014936,107.6504826,"Bandung, Jawa Barat"
NITROGEN EHA SPBU 34.401.02,-6.9045364,107.6071104,"Bandung, Jawa Barat"
Pombensin Mini Ajo,-6.9330165,107.6450699,"Bandung, Jawa Barat"
Spbu,59.941894,30.2989198,"Bandung, Jawa Barat"
Pom Bensin Mini Pertalite,-7.4133366,112.7112974,"Bandung, Jawa Barat"
Shell SPBU Terusan Buah Batu,-6.9663911,107.6374492,"Bandung, Jawa Barat"
SPBT 32.40102,-6.9124665,107.6183957,"Bandung, Jawa Barat"
Green Nitrogen Cihampelas Bandung SPBU 3440121,-6.8886798,107.6038638,"Bandung, Jawa Barat"
Halte Palasari,-6.9273852,107.6234172,"Bandung, Jawa Barat"
SPBU 34.401.22,-6.8689476,107.6209819,"Bandung, Jawa Barat"
Green Nitrogen Nurtanio SPBU 3440115,-6.9070433,107.5858338,"Bandung, Jawa Barat"
34.40315 gas station Al Ma'soem,-6.9395847,107.7414393,"Bandung, Jawa Barat"
SPBU Mini karang tineung,-6.8831896,107.5924223,"Bandung, Jawa Barat"
Aspro,45.4110733,10.3930242,"Bandung, Jawa Barat"
Setia Jaya Gas,-6.9009631,107.6461954,"Bandung, Jawa Barat"
Spbu mini sukahaji,-6.8685503,107.5850679,"Bandung, Jawa Barat"
SPBU pertamini,-6.2191378,106.8418385,"Bandung, Jawa Barat"
Pertamina gas station 34-40211,-6.9562816,107.6553726,"Bandung, Jawa Barat"
Pertashop/Spbu LSJ,-6.8567393,107.5929335,"Bandung, Jawa Barat"
Pom Mini SLANKERS HIJRAH JURUS TANDUR,-6.9134031,107.5892131,"Bandung, Jawa Barat"